source_type,source_name,field_name,field_class,physical_type,logical_type,failure_type,mismatch_message,original_description
entity,Device,DvcIdType,Optional,string,Enumerated,enumerated,,The type of [DvcId](#dvcid). Typically this field also identifies the type of [Scope](#scope) and [ScopeId](#scopeid). This field is required if the [DvcId](#dvcid) field is used.
schema,AlertEvent,RegistryValueType,Optional,string,Enumerated,enumerated,,Type of the registry value.<br><br>e.g. `Reg_Expand_Sz`
schema,AuditEvent,DstDvcIdType,Optional,string,Enumerated,enumerated,,
schema,AuditEvent,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,Authentication,DstDvcIdType,Optional,string,Enumerated,enumerated,,
schema,Common,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,Common,EventSubType,Optional,string,Enumerated,enumerated,,"Describes a subdivision of the operation reported in the [EventType](#eventtype) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalSubType](#eventoriginalsubtype) field."
schema,Common,EventType,Mandatory,string,Enumerated,enumerated,,"Describes the operation reported by the record. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalType](#eventoriginaltype) field."
schema,DhcpEvent,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,DhcpEvent,EventSubType,Optional,string,Enumerated,enumerated,,"Describes a subdivision of the operation reported in the [EventType](#eventtype) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalSubType](#eventoriginalsubtype) field."
schema,Dns,EventResultDetails,Mandatory,string,Enumerated,enumerated,,"For DNS events, this field provides the [DNS response code](https://www.iana.org/assignments/dns-parameters/dns-parameters.xhtml). <br><br>**Notes**:<br>- IANA doesn't define the case for the values, so analytics must normalize the case.<br> - If the source provides only a numerical response code and not a response code name, the parser must include a lookup table to enrich with this value. <br>- If this record represents a request and not a response, set to **NA**. <br><br>Example: `NXDOMAIN`"
schema,Dns,EventType,Mandatory,string,Enumerated,enumerated,,"Indicates the operation reported by the record. <br><br> For DNS records, this value would be the [DNS op code](https://www.iana.org/assignments/dns-parameters/dns-parameters.xhtml). <br><br>Example: `Query`"
schema,Dns,NetworkProtocol,Optional,string,Enumerated,enumerated,,"The transport protocol used by the network resolution event. The value can be **UDP** or **TCP**, and is most commonly set to **UDP** for DNS. <br><br>Example: `UDP`"
schema,FileEvent,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,FileEvent,SrcFilePathType,Recommended,string,Enumerated,enumerated,,"The type of [SrcFilePath](#srcfilepath). For more information, see [Path structure](#path-structure)."
schema,FileEvent,TargetFilePathType,Mandatory,string,Enumerated,enumerated,,"The type of [TargetFilePath](#targetfilepath). For more information, see [Path structure](#path-structure)."
schema,NetworkSession,NetworkProtocol,Optional,string,Enumerated,enumerated,,"The IP protocol used by the connection or session as listed in [IANA protocol assignment](https://www.iana.org/assignments/protocol-numbers/protocol-numbers.xhtml), which is typically `TCP`, `UDP`, or `ICMP`.<br><br>Example: `TCP`"
schema,ProcessEvent,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,ProcessEvent,EventSubType,Optional,string,Enumerated,enumerated,,"Describes a subdivision of the operation reported in the [EventType](#eventtype) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalSubType](#eventoriginalsubtype) field."
schema,RegistryEvent,ActorUserIdType,Conditional,string,Enumerated,enumerated,,"The type of the ID stored in the [ActorUserId](#actoruserid) field. For more information, see [The User entity](normalization-entity-user.md). <br><br>Example: `SID`"
schema,RegistryEvent,ActorUsernameType,Conditional,string,Enumerated,enumerated,,"Specifies the type of the user name stored in the [ActorUsername](#actorusername) field. For more information, see [The User entity](normalization-entity-user.md). <br><br>Example: `Windows`"
schema,RegistryEvent,EventResultDetails,Recommended,string,Enumerated,enumerated,,"Reason or details for the result reported in the [EventResult](#eventresult) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalResultDetails](#eventoriginalresultdetails) field.<br><br>Example: `NXDOMAIN`"
schema,RegistryEvent,EventSubType,Optional,string,Enumerated,enumerated,,"Describes a subdivision of the operation reported in the [EventType](#eventtype) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalSubType](#eventoriginalsubtype) field."
schema,WebSession,EventResultDetails,Recommended,string,Enumerated,enumerated,,"The HTTP status code as defined by [The World Wide Web Consortium](https://www.w3.org/Protocols/HTTP/HTRESP.html) <br><br>**Note**: The value may be provided in the source record using different terms, which should be normalized to these values. The original value should be stored in the **EventOriginalResultDetails** field."
schema,WebSession,EventSubType,Optional,string,Enumerated,enumerated,,"Describes a subdivision of the operation reported in the [EventType](#eventtype) field. Each schema documents the list of values valid for this field. The original, source specific, value is stored in the [EventOriginalSubType](#eventoriginalsubtype) field."
schema,WebSession,HttpRequestMethod,Recommended,string,Enumerated,enumerated,,"The HTTP Method. The values are as defined in [RFC 7231](https://datatracker.ietf.org/doc/html/rfc7231#section-4) and [RFC 5789](https://datatracker.ietf.org/doc/html/rfc5789#section-2), and include `GET`, `HEAD`, `POST`, `PUT`, `DELETE`, `CONNECT`, `OPTIONS`, `TRACE`, and `PATCH`.<br><br>Example: `GET`"
schema,WebSession,NetworkProtocol,Optional,string,Enumerated,enumerated,,"The IP protocol used by the connection or session as listed in [IANA protocol assignment](https://www.iana.org/assignments/protocol-numbers/protocol-numbers.xhtml), which is typically `TCP`, `UDP`, or `ICMP`.<br><br>Example: `TCP`"
